1	-35	0.275	F3..
2	0	0.203	Fz..
3	35	0.275	F4..
4	-90	0.406	T7..
5	-90	0.203	C3..
6	0	0	Cz..
7	90	0.203	C4..
8	90	0.406	T8..
9	-120	0.219	Cp3.
10	120	0.219	Cp4.
11	-145	0.275	P3..
12	180	0.181	Pz..
13	145	0.275	P4..
14	-144	0.406	Po7.
15	144	0.406	Po8.
16	180	0.406	Oz..
17	-18	0.406	Fp1.
18	18	0.406	Fp2.
19	-54	0.406	F7..
20	54	0.406	F8..
21	-68	0.3	Fc5.
22	-42	0.14	Fc1.
23	42	0.14	Fc2.
24	68	0.3	Fc6.
25	180	0.101	Cpz.
26	-126	0.406	P7..
27	126	0.406	P8..
28	-157	0.343	Po3.
29	180	0.304	Poz.
30	157	0.343	Po4.
31	-162	0.406	O1..
32	162	0.406	O2..
