title,  pred, act
Final Batch of 2012 Olympic St, olympics, olympics
More Olympic Streaks, olympics, olympics
One Olympic Track Streak Conti, basketball, olympics
Olympic Streak Notes, None, olympics
MLB Teams in July: The Hot, th, baseball, baseball
US Target Shooter Medals in Fi, hockey, olympics
Is There a Hot Hand in Olympic, other, olympics
Great Olympic Streaks: Basketb, olympics, olympics
Great Olympic Streaks: Gymnast, olympics, olympics
Great Olympic Streaks: Women's, olympics, olympics
