Blog	help	cup	world	along	finally	enjoy	hour	myself	blog	does	couple	oil	weekend	rest	almost	later	least	its	kind	during	large	read	sugar	already	yet	hand	bowl	doesn	told	salt	black	butter	free	mix	comes	bad	three	using	garlic	bring	chocolate	school	probably	anything	show	tell	yes	trying	hope	mom	turn	instead	less	saw	light	remember	taste	pepper	cooked	heat	lots	brown	weeks	store	bread	lunch	able	eating	picture	milk	ingredients	between	sunday	maybe	might	tried	pan	idea	low	leave	won	head	far	trip	nothing	kitchen	onion	perfect	oh	coming	asked	call	rice	working	dish	saturday	share	usually	warm	taking	gave	cake	oven	stir	needed	soon	check	cold	point	wonderful	must	beautiful	ice	ground	baby	egg	stop	wasn	open	friday	looked	live	breakfast	meat	watch	real	loved	believe	turned	th	serve	outside	often	soup	second	birthday	stuff	eggs	simple	bought	early	under	table	salad	chopped	pictures	yesterday	name	several	book	buy	baking	visit	party	someone	amp	delicious	meal	especially	summer	past	potatoes	cover	cups	dry	flour	couldn	wait	season	isn	line	man	guess	pieces	extra	play	looks	bake	minute	short	front	else	mixture	sometimes	either	knew	late	however	special	walk	person	bed	medium	fact	goes	juice	month	change	tomatoes	recipes	powder	amazing	felt	run	list	thinking	beans	tomato	mind	seen	inside	mean	brought	bag	four	fine	pot	clean	months	stay	seems	haven	added	taken	size	bottom	spent	completely	evening	plus	close	leaves	dad	huge	quick	above	onions	pick	ones	heart	feeling	gone	lemon	girl	anyone	watching	christmas	pour	car	means	fish	job	children	enjoyed	although	face	anyway	c	afternoon	break	middle	gets	chips	piece	busy	mother	olive	care	order	reading	corn	paper	area	playing	sliced	living	tsp	worth	coffee	excited	story	mine	potato	please	worked	super	soft	thank	local	fall	thanks	tomorrow	baked	beef	fried	box	case	pasta	group	game	husband	hands	monday	across	vanilla	spread	ate	sit	plan	roll	stick	sister	parents	finished	apple	slightly	quickly	rather	photo	tonight	hit	town	near	center	talking	vegetables	others	golden	experience	serving	remove	spring	reason	wine	heard	drink	dark	shopping	oz	interesting	fruit	served	blue	cookies	plate	dried	cute	talk	city	sitting	running	longer	sprinkle	style	spend	ended	covered	given	young	kept	aside	dessert	lost	weather	fat	etc	restaurant	picked	lovely	onto	degrees	dough	ok	amount	ask	crazy	says	x	whatever	com	prepared	money	met	starting	forward	works	five	road	god	inch	takes	filled	definitely	become	note	waiting	orange	loves	slices	pork	boil	per	pie	healthy	cinnamon	choice	door	wouldn	hear	thick	vegetable	behind	wednesday	awesome	wish	non	mixed	important	moment	seeing	simply	thursday	tea	slice	chili	photos	needs	except	smooth	deep	beat	words	roasted	boy	walking	walked	garden	ginger	recently	below	wrong	filling	teaspoon	country	pizza	frozen	seem	glass	main	girls	air	sun	flavor	move	music	drive	saying	bacon	coconut	e	sleep	park	melted	liked	dishes	lives	round	number	hold	vinegar	movie	usual	played	fast	learned	remaining	true	diced	combine	st	church	honey	woman	funny	daughter	form	market	phone	entire	color	child	mushrooms	thin	watched	homemade	word	miss	fridge	yellow	slow
The World of Me - Jennyb	0	0	0	0	2	0	1	1	5	0	3	0	3	0	1	4	2	2	0	0	0	0	0	1	2	0	0	1	2	0	1	0	1	0	0	3	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	2	0	4	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	3	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	1	1	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	2	0	0	0	0
The Taste of Travel	0	5	2	3	0	0	2	0	0	0	1	11	0	2	0	0	0	0	0	2	4	0	4	0	0	2	4	0	0	15	1	0	0	8	0	0	2	3	5	1	0	3	1	0	1	0	0	0	0	0	2	1	0	0	0	0	7	5	3	2	0	2	0	0	0	2	0	1	1	2	9	0	0	0	0	0	3	0	0	2	0	0	0	1	0	1	4	2	0	0	1	0	9	1	0	0	0	0	1	0	1	1	0	2	2	1	4	3	0	2	0	1	0	2	0	9	1	0	0	0	0	2	0	6	0	0	1	0	2	0	4	0	2	5	2	0	2	3	2	0	0	0	4	5	9	0	0	1	4	0	1	0	2	0	0	2	0	4	1	0	0	7	2	8	3	5	0	0	2	1	0	0	0	1	0	0	1	0	4	2	1	0	6	0	0	0	0	1	1	0	0	0	3	0	0	8	0	0	0	1	8	2	0	0	0	0	0	3	0	0	2	1	1	0	1	0	7	0	0	0	1	0	1	0	1	1	0	1	0	0	0	6	0	0	1	2	5	0	0	2	0	0	1	0	0	0	0	3	0	0	27	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	5	1	0	8	0	0	0	0	0	0	0	3	0	0	0	1	0	3	0	1	0	0	0	3	0	0	0	3	0	3	0	0	0	0	0	0	0	0	6	1	0	0	2	0	0	2	0	0	0	0	1	0	0	0	1	0	2	3	5	3	0	0	1	1	0	0	0	10	0	1	3	1	0	4	4	0	1	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	6	2	0	1	0	5	0	0	0	0	0	0	0	9	2	0	0	0	0	0	1	1	0	4	1	0	0	1	0	0	0	0	6	6	6	1	0	0	0	0	0	0	0	2	2	0	0	1	0	2	0	2	0	0	0	0	2	3	4	0	0	0	2	3	1	1	1	0	0	0	1	4	0	0	0	0	23	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	6	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	2	2	0	4	0	1	0	2	0	0	0	3	4	0	1	1	0	1	5	0	0	0	0	0	1	0
Aishwarya Eats	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	1	1	2	2	0	0	2	1	1	3	0	0	2	3	0	0	6	0	1	4	2	2	0	5	0	4	0	0	2	1	1	2	0	1	0	1	0	1	1	1	1	1	5	0	0	2	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	2	0	1	0	1	0	0	1	0	3	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	2	0	0	0	0	0	2	3	0	0	0	1	0	1	0	3	1	0	1	1	1	1	0	0	0	0	2	0	2	0	0	0	1	1	1	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	2	3	0	0	2	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	2	0	1	0	0	4	2	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	3	0	0	1	1	0	1	0	0	2	0	1	2	0	0	0	0	0	0	0	0	1	0	3	0	0	3	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	2	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	5	1	0	0	1	1	1	0	0	1	0	3	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	3	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	1	0	0	2	0	0	1	0
Mom Tested, Kid Approved	0	14	0	1	0	1	1	0	0	0	0	9	0	0	1	0	0	1	1	0	3	0	11	0	0	0	5	0	0	5	1	10	0	12	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	5	7	0	5	0	0	0	0	0	1	0	1	6	2	0	0	0	0	6	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	2	0	0	0	1	0	0	0	2	5	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	3	0	0	0	0	0	0	0	1	0	6	7	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	2	4	1	1	0	0	2	1	0	0	0	9	0	0	0	4	1	0	0	0	8	0	0	0	0	0	0	0	0	0	9	0	1	1	0	0	8	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	5	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	2	0	6	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	2	4	0	0	0	0	0	0	1	2	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	2	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Ambers Nook	0	3	0	1	0	1	1	0	6	0	0	0	0	0	2	0	0	0	2	0	2	0	2	1	1	0	3	0	0	2	2	2	1	3	1	0	0	2	0	0	13	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	1	3	0	3	0	0	0	0	0	2	1	1	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	3	0	2	0	0	0	0	13	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	1	0	2	2	1	2	1	1	0	0	0	0	2	0	0	1	0	0	1	7	0	0	0	1	0	0	0	1	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	2	1	0	1	0	0	1	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	1	1	0	0	0	1	0	2	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0
simple lifestyle...happy family	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	2	4	0	2	0	0	0	2	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	1	1	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	3	0	0	0	0	0	1	0	0	0	0	1	1	0	1	4	0	0	0	0	0	0	1	1	0	2	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0
What's Cooking!	0	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	6	0	0	0	3	0	0	9	3	5	0	4	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	14	3	13	0	5	0	0	4	0	0	0	0	4	3	0	1	0	0	0	5	0	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	9	0	0	0	0	0	0	0	0	0	6	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	4	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	3	4	0	0	0	0	5	6	3	1	6	0	0	2	0	0	0	0	2	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	4	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	4	0	2	0	3	2	0	0	0	0	0	1	0	5	0	0	1	0	0	0	3	0	0	0	0	0	1	1	3	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	2	2	3	1	0	2	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	8
A Different Perspective	0	1	2	0	0	0	0	2	4	3	0	0	0	0	1	1	1	25	0	5	0	3	0	9	4	2	0	0	0	0	0	0	0	0	0	5	0	2	0	1	0	0	2	1	0	0	2	4	2	0	0	3	2	1	0	0	2	0	1	0	4	0	0	1	0	4	7	1	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	1	1	0	0	0	1	4	0	0	0	1	1	1	0	2	1	2	1	3	0	0	1	2	3	0	1	2	2	0	1	0	2	1	3	0	0	1	0	0	1	1	0	0	3	3	0	0	1	0	0	2	1	1	0	0	1	2	3	1	3	1	0	4	1	0	1	1	1	0	4	9	1	26	0	3	7	0	3	0	0	0	0	0	1	0	1	0	0	1	5	1	0	1	0	0	1	1	0	0	1	1	3	0	0	0	1	5	2	1	0	0	1	0	4	1	0	0	0	0	2	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	4	0	6	0	0	0	2	0	0	0	0	0	0	0	0	2	0	4	0	1	2	0	3	0	0	0	2	0	2	1	0	0	1	0	0	0	0	0	0	2	0	3	0	1	0	0	0	1	0	1	2	1	0	0	0	0	1	0	0	2	2	0	0	2	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	2	0	3	2	1	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	1	1	1	0	0	0	1	1	0	0	0	0	2	2	8	1	0	2	0	0	1	1	0	1	0	1	0	0	1	0	0	4	7	1	0	0	0	0	1	1	0	0	0	0	0	5	0	2	1	1	0	0	0	1	5	0	0	1	5	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	3	0	1	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	1	0	2	0	2	3	0	3	0	0	0	0	0	2	0	7	0	0	2	0	0	3	0	0	0	0	0	4	0	0	2	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
This A.M.	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0	4	3	1	0	2	1	0	0	0	4	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	1	1	2	0	0	0	1	0	0	0	1	0	0	0	0	1	6	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	5	0	2	0	0	2	0	0	1	0	0	2	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	1	0	3	1	1	0	1	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	3	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Life is... Glamorous and Fabulous!	0	0	3	2	2	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	1	0	0	1	0	1	1	3	2	3	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	2	1	0	1	0	3	3	4	1	0	0	0	0	0	1	2	3	3	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0	2	2	2	2	1	0	1	0	0	1	1	3	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0	2	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	1	2	0	0	0	4	2	0	1	0	0	2	0	0	0	1	1	0	3	1	0	0	0	1	2	0	0	0	0	0	0	2	0	4	2	1	0	0	0	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	3	0	1	1	0	1	0	0	0	1	0	0	1	3	0	0	0	0	0	0	2	1	0	1	0	0	1	3	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	11	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	2	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0
